Player_id,player_name,base_price,set_number,accelerated_list,is_overseas,total_points_sum,total_points_mean,total_points_std,total_points_max,total_points_min,batting_points_sum,batting_points_mean,bowling_points_sum,bowling_points_mean,fielding_points_sum,fielding_points_mean,runs_sum,runs_mean,runs_max,wickets_sum,wickets_mean,wickets_max,catches_sum,catches_mean,total_matches,points_per_match,value_score,consistency_score,batting_specialist,bowling_specialist,all_rounder,cat_AR,cat_BAT,cat_BOWL,cat_WK
106,Vaibhav Sooryavanshi,1.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
107,Rahul Tripathi,1.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
108,Rovman Powell,1.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
109,Devdutt Padikkal,1.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
110,Nitish Rana,1.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
111,Ashutosh Sharma,1.0,6,0,False,958.0,39.916666666666664,50.844961844095586,206.0,-17.0,658.0,27.416666666666668,0.0,0.0,40.0,1.6666666666666667,393.0,16.375,66.0,0.0,0.0,0.0,4.0,0.16666666666666666,24.0,39.916666666666664,36.28787878787878,0.7699237350526205,1,0,0,False,True,False,False
112,Ayush Mhatre,1.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
113,Abdul Samad,1.0,6,0,True,2155.0,34.20634920634921,30.037159099677083,112.0,-18.0,1288.0,20.444444444444443,-28.0,-0.4444444444444444,310.0,4.920634920634921,743.0,11.793650793650794,45.0,2.0,0.031746031746031744,1.0,31.0,0.49206349206349204,58.0,37.1551724137931,33.77742946708464,1.1021095421940565,1,0,0,False,True,False,False
114,Karun Nair,1.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
115,Rahul Tewatia,1.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
